Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,VS_Puzzle,Clicks,Prompt
1,1627135215132,24/07/2021 14:00:15,1627135215564,1,24/07/2021 15:00:15,53563,19,task-9zzh,,14557353,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x1080,,Visual Search Click on Location,8,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1627135216642,24/07/2021 14:00:16,1627135217106,1,24/07/2021 15:00:17,53563,19,task-9zzh,,14557353,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x1080,,Visual Search Click on Location,8,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,1515,,,,,0,1,0,,,,,,Instructions,,,
3,1627135217064,24/07/2021 14:00:17,1627135217547,1,24/07/2021 15:00:17,53563,19,task-9zzh,,14557353,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x1080,,Visual Search Click on Location,8,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,Spreadsheet1,5,1,1,Screen 2,fixation,fixation,444.5,,,,,0,1,0,,,,,1,Task,Image4.PNG,1,
4,1627135221161,24/07/2021 14:00:21,1627135221629,1,24/07/2021 15:00:21,53563,19,task-9zzh,,14557353,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x1080,,Visual Search Click on Location,8,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,Spreadsheet1,5,1,2,Screen 1,advancementZone,click_painting,4080,,,click,1,0,1,0,481,90,,,1,Task,Image4.PNG,1,
5,1627135221396,24/07/2021 14:00:21,1627135221874,1,24/07/2021 15:00:21,53563,19,task-9zzh,,14557353,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x1080,,Visual Search Click on Location,8,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,Spreadsheet1,5,1,2,Screen 1,advancementZone,click_painting,4324,,,click limit reached,1,0,1,0,,,,,1,Task,Image4.PNG,1,
6,1627135221833,24/07/2021 14:00:21,1627135222318,1,24/07/2021 15:00:22,53563,19,task-9zzh,,14557353,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x1080,,Visual Search Click on Location,8,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,Spreadsheet1,4,2,1,Screen 2,fixation,fixation,444.5,,,,,0,1,0,,,,,1,Task,Image3.PNG,1,
7,1627135225247,24/07/2021 14:00:25,1627135225733,1,24/07/2021 15:00:25,53563,19,task-9zzh,,14557353,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x1080,,Visual Search Click on Location,8,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,Spreadsheet1,4,2,2,Screen 1,advancementZone,click_painting,3412,,,click,1,0,1,0,613,245,,,1,Task,Image3.PNG,1,
8,1627135225498,24/07/2021 14:00:25,1627135225978,1,24/07/2021 15:00:25,53563,19,task-9zzh,,14557353,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x1080,,Visual Search Click on Location,8,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,Spreadsheet1,4,2,2,Screen 1,advancementZone,click_painting,3657,,,click limit reached,1,0,1,0,,,,,1,Task,Image3.PNG,1,
9,1627135225934,24/07/2021 14:00:25,1627135226423,1,24/07/2021 15:00:26,53563,19,task-9zzh,,14557353,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x1080,,Visual Search Click on Location,8,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,Spreadsheet1,2,3,1,Screen 2,fixation,fixation,444.5,,,,,0,1,0,,,,,1,Task,Image1.PNG,1,
10,1627135227953,24/07/2021 14:00:27,1627135228322,1,24/07/2021 15:00:28,53563,19,task-9zzh,,14557353,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x1080,,Visual Search Click on Location,8,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,Spreadsheet1,2,3,2,Screen 1,advancementZone,click_painting,1897,,,click,1,0,1,0,488,119,,,1,Task,Image1.PNG,1,
11,1627135228093,24/07/2021 14:00:28,1627135228569,1,24/07/2021 15:00:28,53563,19,task-9zzh,,14557353,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x1080,,Visual Search Click on Location,8,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,Spreadsheet1,2,3,2,Screen 1,advancementZone,click_painting,2144,,,click limit reached,1,0,1,0,,,,,1,Task,Image1.PNG,1,
12,1627135228530,24/07/2021 14:00:28,1627135229014,1,24/07/2021 15:00:29,53563,19,task-9zzh,,14557353,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x1080,,Visual Search Click on Location,8,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,Spreadsheet1,3,4,1,Screen 2,fixation,fixation,444.5,,,,,0,1,0,,,,,1,Task,Image2.PNG,1,
13,1627135231357,24/07/2021 14:00:31,1627135231830,1,24/07/2021 15:00:31,53563,19,task-9zzh,,14557353,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x1080,,Visual Search Click on Location,8,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,Spreadsheet1,3,4,2,Screen 1,advancementZone,click_painting,2815,,,click,1,0,1,0,154,213,,,1,Task,Image2.PNG,1,
