Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,VS_Puzzle,Clicks,Prompt
1,1627134554097,24/07/2021 13:49:14,1627134554529,1,24/07/2021 14:49:14,53563,19,task-xa72,,14557232,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x1080,,Visual Search Click on Location,8,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1627134557574,24/07/2021 13:49:17,1627134558036,1,24/07/2021 14:49:18,53563,19,task-xa72,,14557232,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x1080,,Visual Search Click on Location,8,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,3483,,,,,0,1,0,,,,,,Instructions,,,
3,1627134558004,24/07/2021 13:49:18,1627134558475,1,24/07/2021 14:49:18,53563,19,task-xa72,,14557232,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x1080,,Visual Search Click on Location,8,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,Spreadsheet1,2,1,1,Screen 2,fixation,fixation,444.52,,,,,0,1,0,,,,,1,Task,Image1.PNG,1,
4,1627134563057,24/07/2021 13:49:23,1627134563545,1,24/07/2021 14:49:23,53563,19,task-xa72,,14557232,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x1080,,Visual Search Click on Location,8,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,Spreadsheet1,2,1,2,Screen 1,advancementZone,click_painting,5068,,,click,1,0,1,0,484,121,,,1,Task,Image1.PNG,1,
5,1627134563352,24/07/2021 13:49:23,1627134563788,1,24/07/2021 14:49:23,53563,19,task-xa72,,14557232,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x1080,,Visual Search Click on Location,8,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,Spreadsheet1,2,1,2,Screen 1,advancementZone,click_painting,5310,,,click limit reached,1,0,1,0,,,,,1,Task,Image1.PNG,1,
6,1627134563823,24/07/2021 13:49:23,1627134564233,1,24/07/2021 14:49:24,53563,19,task-xa72,,14557232,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x1080,,Visual Search Click on Location,8,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,Spreadsheet1,3,2,1,Screen 2,fixation,fixation,444.5,,,,,0,1,0,,,,,1,Task,Image2.PNG,1,
7,1627134567637,24/07/2021 13:49:27,1627134568122,1,24/07/2021 14:49:28,53563,19,task-xa72,,14557232,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x1080,,Visual Search Click on Location,8,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,Spreadsheet1,3,2,2,Screen 1,advancementZone,click_painting,3888,,,click,1,0,1,0,166,213,,,1,Task,Image2.PNG,1,
8,1627134567872,24/07/2021 13:49:27,1627134568365,1,24/07/2021 14:49:28,53563,19,task-xa72,,14557232,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x1080,,Visual Search Click on Location,8,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,Spreadsheet1,3,2,2,Screen 1,advancementZone,click_painting,4130,,,click limit reached,1,0,1,0,,,,,1,Task,Image2.PNG,1,
9,1627134568330,24/07/2021 13:49:28,1627134568810,1,24/07/2021 14:49:28,53563,19,task-xa72,,14557232,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x1080,,Visual Search Click on Location,8,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,Spreadsheet1,4,3,1,Screen 2,fixation,fixation,444.5,,,,,0,1,0,,,,,1,Task,Image3.PNG,1,
10,1627134570512,24/07/2021 13:49:30,1627134570994,1,24/07/2021 14:49:30,53563,19,task-xa72,,14557232,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x1080,,Visual Search Click on Location,8,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,Spreadsheet1,4,3,2,Screen 1,advancementZone,click_painting,2181,,,click,1,0,1,0,606,255,,,1,Task,Image3.PNG,1,
