Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,VS_Puzzle,Clicks,Prompt
1,1641051273061,01/01/2022 15:34:33,1641051272970,0,01/01/2022 15:34:32,53563,21,task-xa72,,18255981,BLIND,5407126,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1280x800,1280x631,,Visual Search Click on Location,9,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1641051279440,01/01/2022 15:34:39,1641051279400,0,01/01/2022 15:34:39,53563,21,task-xa72,,18255981,BLIND,5407126,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1280x800,1280x631,,Visual Search Click on Location,9,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,6398.000000000001,,,,,0,1,0,,,,,,Instructions,,,
3,1641051279877,01/01/2022 15:34:39,1641051279842,0,01/01/2022 15:34:39,53563,21,task-xa72,,18255981,BLIND,5407126,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1280x800,1280x631,,Visual Search Click on Location,9,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,Spreadsheet1,3,1,1,Screen 2,fixation,fixation,454,,,,,0,1,0,,,,,1,Task,Image2.PNG,1,
4,1641051286660,01/01/2022 15:34:46,1641051286601,0,01/01/2022 15:34:46,53563,21,task-xa72,,18255981,BLIND,5407126,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1280x800,1280x631,,Visual Search Click on Location,9,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,Spreadsheet1,3,1,2,Screen 1,advancementZone,click_painting,6751.000000000002,,,click,1,0,1,0,167,213,,,1,Task,Image2.PNG,1,
5,1641051286907,01/01/2022 15:34:46,1641051286848,0,01/01/2022 15:34:46,53563,21,task-xa72,,18255981,BLIND,5407126,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1280x800,1280x631,,Visual Search Click on Location,9,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,Spreadsheet1,3,1,2,Screen 1,advancementZone,click_painting,6998,,,click limit reached,1,0,1,0,,,,,1,Task,Image2.PNG,1,
6,1641051287320,01/01/2022 15:34:47,1641051287289,0,01/01/2022 15:34:47,53563,21,task-xa72,,18255981,BLIND,5407126,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1280x800,1280x631,,Visual Search Click on Location,9,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,Spreadsheet1,4,2,1,Screen 2,fixation,fixation,441,,,,,0,1,0,,,,,1,Task,Image3.PNG,1,
7,1641051291779,01/01/2022 15:34:51,1641051291725,0,01/01/2022 15:34:51,53563,21,task-xa72,,18255981,BLIND,5407126,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1280x800,1280x631,,Visual Search Click on Location,9,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,Spreadsheet1,4,2,2,Screen 1,advancementZone,click_painting,4430,,,click,1,0,1,0,598,245,,,1,Task,Image3.PNG,1,
8,1641051291996,01/01/2022 15:34:51,1641051291971,0,01/01/2022 15:34:51,53563,21,task-xa72,,18255981,BLIND,5407126,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1280x800,1280x631,,Visual Search Click on Location,9,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,Spreadsheet1,4,2,2,Screen 1,advancementZone,click_painting,4676,,,click limit reached,1,0,1,0,,,,,1,Task,Image3.PNG,1,
9,1641051292466,01/01/2022 15:34:52,1641051292424,0,01/01/2022 15:34:52,53563,21,task-xa72,,18255981,BLIND,5407126,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1280x800,1280x631,,Visual Search Click on Location,9,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,Spreadsheet1,5,3,1,Screen 2,fixation,fixation,453,,,,,0,1,0,,,,,1,Task,Image4.PNG,1,
10,1641051304204,01/01/2022 15:35:04,1641051304169,0,01/01/2022 15:35:04,53563,21,task-xa72,,18255981,BLIND,5407126,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1280x800,1280x631,,Visual Search Click on Location,9,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,Spreadsheet1,5,3,2,Screen 1,advancementZone,click_painting,11738,,,click,1,0,1,0,465,84,,,1,Task,Image4.PNG,1,
