Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,VS_Puzzle,Clicks,Prompt
1,1633943046989,11/10/2021 09:04:06,1633943047365,1,11/10/2021 10:04:07,53563,20,task-i37h,,16291767,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Visual Search Click on Location,9,oneFirst,,,,,168,Right,168,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1633943063718,11/10/2021 09:04:23,1633943064115,1,11/10/2021 10:04:24,53563,20,task-i37h,,16291767,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Visual Search Click on Location,9,oneFirst,,,,,168,Right,168,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,16723.90000000596,,,,,0,1,0,,,,,,Instructions,,,
3,1633943064124,11/10/2021 09:04:24,1633943064549,1,11/10/2021 10:04:24,53563,20,task-i37h,,16291767,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Visual Search Click on Location,9,oneFirst,,,,,168,Right,168,Right,Spreadsheet1,Spreadsheet1,5,1,1,Screen 2,fixation,fixation,449.97699999999895,,,,,0,1,0,,,,,1,Task,Image4.PNG,1,
4,1633943092120,11/10/2021 09:04:52,1633943092479,1,11/10/2021 10:04:52,53563,20,task-i37h,,16291767,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Visual Search Click on Location,9,oneFirst,,,,,168,Right,168,Right,Spreadsheet1,Spreadsheet1,5,1,2,Screen 1,advancementZone,click_painting,27923.399999976158,,,click,1,0,1,0,479,93,,,1,Task,Image4.PNG,1,
5,1633943092305,11/10/2021 09:04:52,1633943092717,1,11/10/2021 10:04:52,53563,20,task-i37h,,16291767,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Visual Search Click on Location,9,oneFirst,,,,,168,Right,168,Right,Spreadsheet1,Spreadsheet1,5,1,2,Screen 1,advancementZone,click_painting,28160.399999976158,,,click limit reached,1,0,1,0,,,,,1,Task,Image4.PNG,1,
6,1633943092758,11/10/2021 09:04:52,1633943093166,1,11/10/2021 10:04:53,53563,20,task-i37h,,16291767,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Visual Search Click on Location,9,oneFirst,,,,,168,Right,168,Right,Spreadsheet1,Spreadsheet1,4,2,1,Screen 2,fixation,fixation,450.1419999999998,,,,,0,1,0,,,,,1,Task,Image3.PNG,1,
7,1633943098478,11/10/2021 09:04:58,1633943098880,1,11/10/2021 10:04:58,53563,20,task-i37h,,16291767,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Visual Search Click on Location,9,oneFirst,,,,,168,Right,168,Right,Spreadsheet1,Spreadsheet1,4,2,2,Screen 1,advancementZone,click_painting,5707.699999988079,,,click,1,0,1,0,615,248,,,1,Task,Image3.PNG,1,
8,1633943098714,11/10/2021 09:04:58,1633943099116,1,11/10/2021 10:04:59,53563,20,task-i37h,,16291767,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Visual Search Click on Location,9,oneFirst,,,,,168,Right,168,Right,Spreadsheet1,Spreadsheet1,4,2,2,Screen 1,advancementZone,click_painting,5943.5,,,click limit reached,1,0,1,0,,,,,1,Task,Image3.PNG,1,
9,1633943099166,11/10/2021 09:04:59,1633943099566,1,11/10/2021 10:04:59,53563,20,task-i37h,,16291767,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Visual Search Click on Location,9,oneFirst,,,,,168,Right,168,Right,Spreadsheet1,Spreadsheet1,3,3,1,Screen 2,fixation,fixation,450.13500000000204,,,,,0,1,0,,,,,1,Task,Image2.PNG,1,
10,1633943120352,11/10/2021 09:05:20,1633943120749,1,11/10/2021 10:05:20,53563,20,task-i37h,,16291767,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Visual Search Click on Location,9,oneFirst,,,,,168,Right,168,Right,Spreadsheet1,Spreadsheet1,3,3,2,Screen 1,advancementZone,click_painting,21176.5,,,click,1,0,1,0,156,209,,,1,Task,Image2.PNG,1,
